asv_in_model	pbcorr	pval
NusbaumDJ_2018__Zotu1786	0.116599022	0.02988781
KUMC_our_set__Zotu684	0.116522979	0.029995634
SchirmerM_2018__Zotu3005	-0.116414169	0.030150499
HurychJ_2023__Uniq149589	0.116406216	0.030161844
SchirmerM_2018__Zotu1515	-0.116393062	0.030180618
AlipourM_2016__Zotu1597	-0.116381646	0.03019692
KUMC_our_set__Zotu899	0.116270473	0.030356063
KUMC_our_set__Zotu310	0.116144688	0.030536987
HurychJ_2023__Uniq40418	-0.116077153	0.030634508
SchirmerM_2018__Zotu3195	-0.115977484	0.030778914
HurychJ_2023__Uniq30881	-0.115869669	0.03093578
NusbaumDJ_2018__Zotu1236	-0.115824088	0.031002302
HurychJ_2023__Uniq114922	-0.115812865	0.031018701
HurychJ_2023__Uniq144727	-0.115797643	0.031040953
IjazUZ_2017__Zotu1617	-0.115795297	0.031044385
SchirmerM_2018__Zotu666	-0.115768366	0.031083791
AlipourM_2016__Zotu38	-0.115757062	0.031100346
HurychJ_2023__Uniq111409	-0.115718274	0.031157204
HurychJ_2023__Uniq105239	0.115693661	0.03119333
NusbaumDJ_2018__Zotu1649	-0.115566299	0.031380837
HurychJ_2023__Uniq137725	-0.115509967	0.031464078
